id_municipio,id_candidato_bd,genero,raca
2607901,670675,masculino,amarela
2607901,834223,masculino,amarela
2610707,597835,masculino,amarela
2615300,1264033,masculino,amarela
2603454,513722,feminino,amarela
2603900,1677410,masculino,amarela
2603900,505625,masculino,amarela
2607208,1242812,feminino,amarela
2609600,1515407,masculino,amarela
2611101,991985,feminino,amarela
2613107,296113,masculino,amarela
2613107,1774324,masculino,amarela
2613107,941351,feminino,amarela
2603454,1067275,feminino,amarela
2603702,807552,masculino,amarela
2604007,608371,masculino,amarela
2604007,226002,masculino,amarela
2604007,655019,masculino,amarela
2604007,46187,masculino,amarela
2604007,1341357,masculino,amarela
2604007,1141814,masculino,amarela
2604007,1005774,masculino,amarela
2604007,596167,feminino,amarela
2604007,1226377,masculino,amarela
2604007,187665,feminino,amarela
2607901,634229,feminino,amarela
2616183,1112837,feminino,amarela
2602902,689802,masculino,amarela
2608008,1456489,feminino,amarela
2608008,1362062,feminino,amarela
2613602,876099,masculino,amarela
2613602,1504088,masculino,amarela
2613602,971544,feminino,amarela
2613602,1666881,feminino,amarela
2613602,1059564,masculino,amarela
2604205,1260731,feminino,amarela
2616183,1105033,masculino,amarela
2601409,60975,masculino,amarela
2609204,239396,masculino,amarela
2609501,1208556,feminino,amarela
2609501,1379786,masculino,amarela
2610707,1356814,feminino,amarela
2612000,1372746,masculino,amarela
2607901,722764,feminino,amarela
2602308,1385332,feminino,amarela
2604106,1177839,feminino,amarela
2606200,909537,masculino,amarela
2615300,877585,masculino,amarela
2601201,1543224,feminino,amarela
2614204,1142651,masculino,amarela
2614204,974619,feminino,amarela
2607950,1152798,masculino,amarela
2610004,241697,masculino,amarela
2605905,1803311,masculino,amarela
2615409,1099026,masculino,amarela
2608453,1107619,masculino,amarela
2611002,1420042,feminino,amarela
2612000,1036752,masculino,amarela
2610707,1078590,feminino,
2610707,1566759,masculino,
2610707,1797092,masculino,
2611408,573414,masculino,
2611408,544385,masculino,
2611408,1063226,masculino,
2611408,535971,feminino,
2611408,770688,feminino,
2611408,1479305,masculino,
2611408,734704,masculino,
2611408,1326323,feminino,
2612208,1510473,masculino,
2612208,1133131,masculino,
2612505,1004875,masculino,
2612505,819522,feminino,
2612505,676764,masculino,
2612505,1559990,masculino,
2612505,620489,feminino,
2605301,1055753,masculino,
2605301,985686,masculino,
2605301,1367780,masculino,
2605301,746991,masculino,
2605301,1207872,masculino,
2605301,1648862,masculino,
2605301,437526,masculino,
2605301,596936,feminino,
2605301,1743255,feminino,
2605301,979267,feminino,
2605301,1095369,feminino,
2605301,715820,masculino,
2605301,699430,masculino,
2612505,1214723,feminino,
2605707,620292,feminino,
2612208,1268584,masculino,
2602308,879517,masculino,
2609808,1262018,feminino,
2609808,1204457,feminino,
2604106,621746,masculino,
2604106,644743,masculino,
2602001,997287,masculino,
2602001,795956,feminino,
2602001,570104,masculino,
2602001,1492206,feminino,
2602001,1248130,masculino,
2602001,254286,masculino,
2602001,467934,masculino,
2602001,1026434,feminino,
2602001,1156538,masculino,
2602001,480994,masculino,
2602001,1761964,masculino,
2602001,1563387,masculino,
2602001,1635138,feminino,
2606309,220918,feminino,
2606309,147874,feminino,
2606309,1247215,masculino,
2606309,347296,masculino,
2606309,1533150,masculino,
2606309,1432670,masculino,
2606309,920661,masculino,
2606309,1540802,feminino,
2612505,1067779,masculino,
2613602,1451909,masculino,
2611606,1561998,feminino,
2613305,1373982,masculino,
2614857,1163727,masculino,
2611408,217095,masculino,
2611408,976276,feminino,
2610707,1233966,masculino,
2610707,1365463,feminino,
2610707,1303108,feminino,
2611606,292051,masculino,
2611606,804076,feminino,
2611606,1061082,masculino,
2611606,1029063,masculino,
2611606,168718,masculino,
2611606,858610,masculino,
2611606,1004062,masculino,
2611606,620617,masculino,
2611606,1038185,masculino,
2611606,1063930,feminino,
2611606,723340,masculino,
2611606,1013971,masculino,
2611606,864354,feminino,
2611606,260446,masculino,
2611606,1379413,masculino,
2611606,1039227,feminino,
2611606,1517877,feminino,
2611606,671405,feminino,
2611606,975860,feminino,
2611606,1445861,feminino,
2611606,1376437,feminino,
2611606,1624118,masculino,
2611606,759744,feminino,
2611606,1022861,masculino,
2611606,1797080,masculino,
2611606,965755,masculino,
2611606,192905,feminino,
2611606,518834,masculino,
2611606,1516276,masculino,
2604106,614564,masculino,
2604106,1109504,masculino,
2605707,504822,masculino,
2606903,1143108,feminino,
2602308,1112028,feminino,
2612505,1204532,masculino,
2610707,194043,masculino,
2604106,171586,feminino,
2604106,1776036,masculino,
2603454,1411026,feminino,
2603454,803652,feminino,
2603454,607372,masculino,
2603454,563192,masculino,
2603454,279898,masculino,
2603454,17787,masculino,
2603454,1046366,feminino,
2601904,1265702,masculino,parda
2601904,1512621,masculino,parda
2601904,1166648,feminino,parda
2602902,1010291,masculino,parda
2602902,426181,masculino,parda
2602902,296817,masculino,parda
2602902,1338324,masculino,parda
2602902,1221645,masculino,parda
2602902,131919,masculino,parda
2602902,1370409,feminino,parda
2602902,13308,masculino,parda
2602902,313441,masculino,parda
2602902,1135912,masculino,parda
2604007,819622,masculino,parda
2604007,125973,masculino,parda
2604007,687658,masculino,parda
2604007,1072048,feminino,parda
2604007,1476697,feminino,parda
2604007,1150705,masculino,parda
2607604,994789,feminino,parda
2607604,596912,masculino,parda
2607604,1200372,masculino,parda
2607604,370342,masculino,parda
2607604,1085728,feminino,parda
2607604,1622959,feminino,parda
2607604,447261,masculino,parda
2607901,1333641,feminino,parda
2607901,1525639,feminino,parda
2607901,1167820,masculino,parda
2607901,518200,masculino,parda
2607901,1378339,masculino,parda
2607901,773377,masculino,parda
