id_municipio,id_candidato_bd,resultado
2612455,1089137,nao eleito
2614501,182479,suplente
2614501,216935,suplente
2614501,1101103,suplente
2614501,563134,suplente
2614501,911627,suplente
2614501,634847,eleito por qp
2614501,124058,suplente
2614501,771200,suplente
2614501,1084230,suplente
2614501,1095683,suplente
2614501,593369,suplente
2614501,950139,suplente
2614501,654057,eleito por qp
2614501,1185819,eleito por media
2614501,825736,suplente
2614501,1056544,suplente
2614501,124083,eleito por qp
2614501,1058376,suplente
2602902,1716122,nao eleito
2602902,1539265,nao eleito
2602902,482787,nao eleito
2602902,1140784,nao eleito
2602902,1037670,nao eleito
2602902,1151175,nao eleito
2602902,975801,nao eleito
2602902,994463,nao eleito
2602902,1469855,nao eleito
2602902,143742,nao eleito
2602902,1008487,nao eleito
2602902,413778,nao eleito
2602902,1340312,nao eleito
2602902,1018412,nao eleito
2602902,1687274,nao eleito
2602902,515473,nao eleito
2602902,567406,nao eleito
2602902,471374,nao eleito
2602902,13281,nao eleito
2602902,1176063,nao eleito
2602902,1627259,nao eleito
2602902,649774,nao eleito
2602902,1007786,nao eleito
2610608,540066,suplente
2610608,1304334,suplente
2610608,1334763,suplente
2610608,1243058,eleito por qp
2610608,1199506,suplente
2610608,1232016,suplente
2610608,865338,suplente
2610608,1143068,suplente
2610608,771763,suplente
2610608,1161238,eleito por qp
2610608,1008182,suplente
2610608,1176091,suplente
2610608,1078720,suplente
2610608,1159344,suplente
2610608,988043,suplente
2610608,794329,suplente
2610608,139599,suplente
2610608,1021192,suplente
2610608,1663613,suplente
2610608,988746,suplente
2600054,395844,suplente
2600054,1368647,suplente
2600054,320276,suplente
2600054,943046,suplente
2600054,1175320,eleito por media
2600054,1257156,suplente
2600054,514399,suplente
2600054,1064002,suplente
2600054,1589932,suplente
2600054,754399,suplente
2600054,1019298,suplente
2600054,294675,suplente
2600054,1050418,suplente
2600054,1140755,suplente
2600054,544311,suplente
2600054,1480515,suplente
2604809,446393,eleito por qp
2604809,1433150,suplente
2604809,994289,suplente
2604809,1709833,suplente
2604809,805044,suplente
2604809,1469887,suplente
2604809,551339,suplente
2604809,746116,suplente
2604809,609450,suplente
2604809,1268983,suplente
2604809,1199558,suplente
2604809,1342170,eleito por qp
2604809,698210,suplente
2606705,953439,eleito por media
2606705,1481439,suplente
2606705,1121391,suplente
2606705,1171931,suplente
2606705,1482521,suplente
2606705,1342082,suplente
2606705,642980,suplente
2606705,637476,eleito por qp
2606705,1599867,eleito por qp
2606705,1412897,suplente
2606705,951707,suplente
2606705,976334,suplente
2606705,923861,eleito por qp
2606705,1640082,eleito por qp
2611804,1667422,suplente
2611804,473489,suplente
2611804,671340,suplente
2611804,218287,suplente
2611804,619184,suplente
2611804,26120,suplente
2611804,900828,suplente
2611804,1189556,suplente
2611804,1151408,suplente
2611804,1154001,suplente
2611804,1097380,suplente
2611804,1328818,suplente
2611804,1152832,suplente
2611804,1406318,suplente
2611804,1180005,eleito por media
2611804,505758,suplente
2611804,1359090,suplente
2611804,1246579,suplente
2611804,1143541,suplente
2611804,760365,suplente
2611200,1372548,suplente
2611200,1115089,suplente
2611200,1363136,eleito por qp
2611200,1654740,suplente
2611200,56201,suplente
2611200,1709654,eleito por qp
2611200,596186,suplente
2611200,1216569,suplente
2611200,607225,suplente
2612000,969260,suplente
2612000,781488,suplente
2612000,1073033,suplente
2612000,1383983,suplente
2612000,1227572,suplente
2612000,613859,eleito por qp
2612000,1036752,suplente
2612000,253062,suplente
2612000,1526855,suplente
2604601,1409801,suplente
2604601,861790,suplente
2604601,1553727,eleito por qp
2604601,1608576,suplente
2604601,1095077,suplente
2604601,1331024,suplente
2604601,914259,suplente
2604601,594446,suplente
2604601,594662,suplente
2604601,861983,eleito por qp
2604601,703073,suplente
2604601,313212,suplente
2604601,1664876,suplente
2604601,770876,suplente
2613206,1056382,suplente
2613206,956720,suplente
2613206,572735,suplente
2613206,956666,suplente
2613206,937575,suplente
2613206,844925,suplente
2613206,345738,eleito por media
2613206,1347722,suplente
2613206,1022701,eleito por qp
2613206,961810,suplente
2607604,1040589,suplente
2607604,1041662,suplente
2607604,1211632,suplente
2607604,1084081,suplente
2607604,1164265,eleito por media
2607604,1184695,suplente
2607604,1181073,suplente
2607604,1065629,suplente
2607604,562293,suplente
2607604,895823,suplente
2607604,444391,suplente
2607604,941970,suplente
2607604,437499,suplente
2607604,547858,suplente
2607604,1136124,eleito por qp
2612471,1208771,suplente
2612471,70216,suplente
2612471,843839,eleito por qp
2612471,1122349,suplente
2612471,930791,suplente
2612471,904845,eleito por qp
2612471,1704811,suplente
2612471,1605704,suplente
2612471,789222,eleito por media
2612471,1172367,suplente
2610707,727148,nao eleito
2610707,782476,nao eleito
2610707,33534,nao eleito
2610707,546854,nao eleito
2610707,284520,nao eleito
2610707,9933,nao eleito
2610707,895342,nao eleito
2610707,137880,nao eleito
2610707,260685,nao eleito
2610707,196199,nao eleito
2610707,320781,nao eleito
2610707,1046656,nao eleito
2610707,1022469,nao eleito
2610707,737024,nao eleito
2610707,1056530,nao eleito
2610707,1019276,nao eleito
2610707,1781357,nao eleito
2610707,671983,nao eleito
2610707,1034301,nao eleito
2610707,1050663,nao eleito
2610707,5920,nao eleito
2610707,1215715,nao eleito
2610707,193392,nao eleito
2613107,1632314,suplente
2613107,70654,suplente
2613107,1675555,suplente
2613107,1374760,suplente
2613107,1145716,suplente
2613107,638094,suplente
2613107,1014736,suplente
2613107,923838,eleito por qp
2613107,1008867,eleito por qp
2613107,1289675,suplente
2613107,638090,suplente
2613107,611560,suplente
2613107,1204426,suplente
2613107,1077748,suplente
2613107,1632776,suplente
2613107,1096016,suplente
2613107,1353922,suplente
2613107,773753,eleito por media
2613107,1360471,suplente
2613107,1200410,suplente
2608701,270956,suplente
2608701,921569,eleito por qp
2608701,1767264,eleito por qp
2608701,139774,suplente
2608701,749831,suplente
2608701,682720,suplente
2608701,1126591,eleito por qp
2608701,52673,suplente
2608701,568314,eleito por qp
2608701,1742789,suplente
2608701,1346827,suplente
2608701,221013,suplente
2608701,1209313,suplente
2608701,699596,suplente
2608701,184774,suplente
2608701,1303382,suplente
2611606,542852,suplente
2611606,1411377,suplente
2611606,1058176,suplente
2611606,69962,suplente
2611606,1048894,suplente
2611606,1000937,suplente
2611606,1402590,suplente
2611606,794249,suplente
2611606,536449,suplente
2611606,80444,suplente
2611606,404331,suplente
2611606,195401,suplente
2611606,351845,suplente
2611606,744830,suplente
2611606,532441,suplente
2611606,1589797,suplente
2611606,756347,suplente
2611606,22683,suplente
2611606,563601,suplente
2611606,334859,suplente
2611606,141134,suplente
2611606,1197874,suplente
2611606,1768157,suplente
2611606,1297150,suplente
2611606,990283,suplente
2611606,1075997,suplente
2611606,519165,suplente
2611606,571083,suplente
2611606,439992,suplente
2611606,780298,suplente
2611606,298077,suplente
2611606,704277,suplente
2611606,144905,suplente
2611606,642396,suplente
2611606,1723444,suplente
2611606,701301,suplente
2611606,153234,suplente
2611606,190672,suplente
2611606,498780,suplente
2611606,707990,suplente
2611606,546964,eleito por qp
2611606,520049,suplente
2611606,514931,suplente
2611606,153225,suplente
2611606,1304879,suplente
2611606,1223154,suplente
2611606,1058092,suplente
2611606,218730,suplente
2611606,596225,suplente
2611606,1037675,suplente
2611606,543908,suplente
2616001,976175,suplente
2616001,562245,suplente
2616001,1233019,eleito por media
2616001,1093313,eleito por qp
2616001,1627167,suplente
2616001,1306986,suplente
2616001,158192,suplente
2616001,1466218,suplente
2616001,716053,suplente
2616001,1405683,suplente
2616001,628698,suplente
2616001,537334,eleito por qp
2616001,1216728,eleito por qp
2616001,1351810,suplente
2616001,1655517,suplente
2608057,1098076,suplente
2608057,1531685,suplente
2608057,979374,suplente
2608057,976358,eleito por qp
2608057,1340480,suplente
2608057,54476,suplente
2608057,939927,suplente
2608057,452806,eleito por media
2608057,905574,suplente
2608057,1178494,suplente
2608057,974877,suplente
2608057,956977,suplente
2608057,1189402,suplente
2608057,1190583,suplente
2602100,611691,suplente
2602100,943864,suplente
2602100,1295699,suplente
2602100,1704470,eleito por media
2602100,827493,suplente
2602100,1091557,eleito por qp
2602100,845625,suplente
2602100,805297,suplente
2602100,955403,suplente
2602100,1651685,eleito por qp
2602100,190940,suplente
2602100,735730,suplente
2602100,805260,suplente
2602100,955203,suplente
2602100,1049202,suplente
2611002,1287624,suplente
2611002,231294,suplente
2611002,1007798,suplente
2611002,1314318,eleito por media
2611002,911706,suplente
2611002,1344446,suplente
2611002,641012,suplente
2611002,229768,suplente
2611002,1380759,suplente
2611002,418593,suplente
2611002,1057428,suplente
2611002,1090795,suplente
2611002,691911,suplente
2611002,1156083,suplente
2611002,1131021,suplente
2611002,1420042,suplente
2616407,159271,suplente
2616407,929560,suplente
2616407,1111625,suplente
2616407,1145401,suplente
2616407,707317,suplente
2616407,498828,suplente
2616407,970654,eleito por qp
2616407,966311,suplente
2616407,967379,suplente
2616407,494938,eleito por qp
2616407,449308,suplente
2616407,973226,suplente
2616407,1019121,suplente
2616407,1012705,suplente
2616407,790176,suplente
2616407,1659518,suplente
2616407,1714479,eleito por media
2616407,1081281,suplente
2616407,790397,suplente
2616407,1015137,suplente
2616407,998340,suplente
2616407,1039404,suplente
2616407,1181674,suplente
2616407,1686462,eleito por qp
2616407,1329325,suplente
2616407,832456,suplente
2600807,1359520,suplente
2600807,1546070,suplente
2600807,567867,suplente
2600807,959084,suplente
2600807,1358950,suplente
2600807,1736471,suplente
2600807,1225991,suplente
2600807,158090,eleito por qp
2600807,555965,suplente
2609808,457640,nao eleito
2603454,539385,suplente
2603454,960455,suplente
2603454,816915,suplente
2603454,1224174,suplente
2603454,1112405,suplente
2603454,644947,suplente
2603454,320845,suplente
2603454,1055868,suplente
2603454,544247,suplente
2603454,1146938,suplente
2603454,1277041,suplente
2603454,1007379,suplente
2603454,947305,eleito por qp
2603454,509099,suplente
2603454,1628003,suplente
2603454,282354,suplente
2603454,1622936,suplente
2603454,785734,suplente
2603454,958025,suplente
2600708,562199,suplente
2600708,969008,eleito por qp
2600708,1216437,suplente
2600708,,suplente
2600708,109138,suplente
2600708,256275,suplente
2600708,1004547,suplente
2600708,1058432,eleito por media
2600708,1020800,suplente
2600708,524666,suplente
2600708,805881,suplente
2605004,1284962,nao eleito
2605004,484462,nao eleito
2605004,1329391,nao eleito
2605004,1381058,nao eleito
2605004,968175,nao eleito
2607653,1099330,suplente
2607653,1252677,suplente
2607653,1003968,suplente
2607653,1003835,suplente
2607653,1197598,eleito por qp
2607653,950584,suplente
2607653,549539,eleito por qp
2607653,1016930,suplente
2607653,1139085,suplente
2607653,543235,suplente
2607653,714569,suplente
2607653,1042994,suplente
2607653,1337632,suplente
2607653,1099306,suplente
2607653,1061206,suplente
2607653,809789,suplente
2609600,1554165,suplente
2609600,1400189,suplente
2609600,943910,eleito por media
2609600,1621498,suplente
2609600,1015917,suplente
2609600,1684446,suplente
2609600,893230,suplente
2609600,1699850,suplente
2609600,641903,suplente
2609600,558073,suplente
2609600,533673,suplente
2609600,1724252,suplente
2609600,1682413,suplente
2609600,1050659,suplente
2609600,1116703,suplente
2609600,1016977,suplente
2609600,1120401,suplente
2609600,360754,suplente
2609600,701020,suplente
2609600,580488,suplente
2609600,698715,suplente
2609600,1093726,suplente
2609600,599735,suplente
2609600,1091213,suplente
2609600,946281,suplente
2605301,755865,eleito por qp
2605301,1214268,eleito por qp
2605301,908273,suplente
2605301,184408,suplente
2605301,62540,suplente
2605301,785011,suplente
2605301,845783,suplente
2605301,715824,suplente
2605301,683038,suplente
2605301,1164387,suplente
2605301,976316,eleito por qp
2605301,123162,suplente
2605301,1620364,suplente
2605301,1343818,suplente
2605301,1530332,suplente
2605301,1671162,eleito por media
2605301,1080748,suplente
2605301,206419,suplente
2605301,371261,suplente
2613701,1179290,suplente
2613701,1367744,suplente
2613701,480328,suplente
2613701,557135,suplente
2613701,748196,suplente
2613701,1182200,suplente
2613701,963494,suplente
2613701,1064343,suplente
2613701,569158,suplente
2613701,901303,suplente
2613701,969609,suplente
2613701,963376,suplente
2613701,924137,eleito por media
2613701,607783,suplente
2613701,1009867,suplente
2613701,1032798,suplente
2613701,1057414,suplente
2613701,336611,suplente
2613701,676156,suplente
2613701,639473,suplente
2613701,818286,suplente
2610202,1396630,nao eleito
2610202,1154998,nao eleito
2610202,1139139,nao eleito
2610202,1469905,nao eleito
2610202,1717290,nao eleito
2610202,1142989,nao eleito
2609303,1358517,suplente
2609303,1338342,suplente
2609303,1034401,suplente
2609303,1315033,suplente
2609303,1021830,suplente
2609303,1289229,suplente
2609303,1190782,suplente
2609303,1302825,suplente
2609303,562499,suplente
2609303,1280064,suplente
